DATE,Gas Price,Commercial Electricity Price,Industrial Electricity Price,Transportation Electricity Price
2013-04-01,3.638,9.96,6.58,10.28
2013-05-01,3.675,10.22,6.75,10.5
2013-06-01,3.689,10.65,7.25,10.76
2013-07-01,3.661,10.7,7.45,10.97
2013-08-01,3.645,10.69,7.37,10.77
2013-09-01,3.604,10.53,7.22,10.88
2013-10-01,3.42,10.28,6.87,10.46
2013-11-01,3.322,10.03,6.65,10.49
2013-12-01,3.357,9.96,6.66,10.2
2014-01-01,3.392,10.35,6.98,10.93
2014-02-01,3.434,10.68,7.12,10.41
2014-03-01,3.606,10.65,6.99,10.43
2014-04-01,3.735,10.46,6.77,10.23
2014-05-01,3.75,10.54,6.83,10.06
2014-06-01,3.766,10.96,7.39,10.6
2014-07-01,3.688,11.17,7.62,10.68
2014-08-01,3.565,11.05,7.51,10.02
2014-09-01,3.484,11.16,7.37,11.02
2014-10-01,3.255,10.83,7.07,10.27
2014-11-01,2.997,10.52,6.75,10.2
2014-12-01,2.632,10.36,6.7,10.48
2015-01-01,2.208,10.31,6.67,10.45
2015-02-01,2.301,10.62,6.88,10.49
2015-03-01,2.546,10.63,6.83,10.12
2015-04-01,2.555,10.37,6.61,9.76
2015-05-01,2.802,10.47,6.74,9.87
2015-06-01,2.885,10.89,7.11,10.15
2015-07-01,2.88,11.07,7.45,10.34
2015-08-01,2.726,10.94,7.35,10.14
2015-09-01,2.462,10.98,7.21,10.29
2015-10-01,2.387,10.73,6.88,9.91
2015-11-01,2.26,10.3,6.61,9.63
2015-12-01,2.144,10.13,6.45,9.81
2016-01-01,2.057,10.08,6.44,9.52
2016-02-01,1.872,10.25,6.42,9.61
2016-03-01,2.071,10.23,6.46,9.56
2016-04-01,2.216,10.19,6.44,9.53
2016-05-01,2.371,10.31,6.57,9.28
2016-06-01,2.467,10.66,7.03,9.75
2016-07-01,2.345,10.68,7.23,9.84
2016-08-01,2.284,10.76,7.23,10.04
2016-09-01,2.327,10.77,7.14,10
2016-10-01,2.359,10.55,6.73,9.62
2016-11-01,2.295,10.32,6.66,9.22
2016-12-01,2.366,10.17,6.67,9.49
2017-01-01,2.458,10.21,6.59,9.39
2017-02-01,2.416,10.48,6.63,9.5
2017-03-01,2.437,10.46,6.71,9.49
2017-04-01,2.528,10.4,6.6,9.46
2017-05-01,2.503,10.59,6.78,9.61
2017-06-01,2.46,11.01,7.19,10.18
2017-07-01,2.414,10.97,7.31,10.12
2017-08-01,2.494,11.01,7.22,10.06
2017-09-01,2.761,11.03,7.17,9.99
2017-10-01,2.621,10.78,6.91,9.57
2017-11-01,2.678,10.49,6.73,9.5
2017-12-01,2.594,10.28,6.54,9.35
2018-01-01,2.671,10.49,6.94,9.39
2018-02-01,2.705,10.65,6.78,9.78
2018-03-01,2.709,10.51,6.63,9.4
2018-04-01,2.873,10.46,6.57,9.47
2018-05-01,2.987,10.51,6.79,9.39
2018-06-01,2.97,10.84,7.17,10.23
2018-07-01,2.928,11,7.32,10.05
2018-08-01,2.914,11.03,7.25,9.5
2018-09-01,2.915,10.72,7.05,10.05
2018-10-01,2.943,10.77,6.87,9.79
2018-11-01,2.736,10.54,6.85,9.7
2018-12-01,2.457,10.33,6.67,9.71
2019-01-01,2.338,10.3,6.58,9.83
2019-02-01,2.393,10.54,6.69,10.02
2019-03-01,2.594,10.46,6.73,9.25
2019-04-01,2.881,10.52,6.51,9.45
2019-05-01,2.946,10.54,6.69,9.46
2019-06-01,2.804,10.9,6.87,10.01
2019-07-01,2.823,11.02,7.14,9.82
2019-08-01,2.707,11.02,7.4,9.65
2019-09-01,2.681,10.96,7.06,9.78
2019-10-01,2.724,10.74,6.84,9.72
2019-11-01,2.693,10.57,6.72,9.52
2019-12-01,2.645,10.32,6.38,9.46
2020-01-01,2.636,10.18,6.37,9.64
2020-02-01,2.533,10.3,6.44,9.45
2020-03-01,2.329,10.34,6.39,9.67
2020-04-01,1.938,10.37,6.39,9.72
2020-05-01,1.961,10.4,6.54,9.3
2020-06-01,2.17,10.89,6.94,10.55
2020-07-01,2.272,10.84,7.16,10.27
2020-08-01,2.272,10.9,7.07,10.29
2020-09-01,2.274,11.02,7,10.37
2020-10-01,2.248,10.72,6.72,9.87
2020-11-01,2.2,10.53,6.49,9.95
2020-12-01,2.284,10.41,6.41,9.86
2021-01-01,2.42,10.27,6.32,9.48
2021-02-01,2.587,11.36,7.75,9.92
2021-03-01,2.898,11.08,6.98,9.7
2021-04-01,2.948,10.87,6.7,10.03
2021-05-01,3.076,10.86,6.65,10.03
2021-06-01,3.157,11.33,7.22,10.42
2021-07-01,3.231,11.46,7.42,10.29
2021-08-01,3.255,11.52,7.54,10.27
2021-09-01,3.272,11.65,7.61,11.15
2021-10-01,3.384,11.52,7.44,10.25
2021-11-01,3.491,11.29,7.37,10.47
2021-12-01,3.406,11.15,7.06,10.49
2022-01-01,3.413,11.26,7.19,10.54
2022-02-01,3.611,11.66,7.28,10.95
2022-03-01,4.322,11.65,7.37,10.87
2022-04-01,4.213,11.82,7.7,11.26
2022-05-01,4.545,12,8.25,10.79
2022-06-01,5.032,12.75,8.85,12.1
2022-07-01,4.668,13.02,9.31,12.39
2022-08-01,4.087,13.41,9.38,12.9
2022-09-01,3.817,13.28,9.06,12.57
2022-10-01,3.935,12.89,8.45,11.81
2022-11-01,3.799,12.33,8.14,11.56
2022-12-01,3.324,12.28,8.5,11.48
2023-01-01,3.445,12.61,8.18,12.54
2023-02-01,3.501,12.53,8.01,13.14
2023-03-01,3.535,12.36,7.8,12.28
2023-04-01,3.711,12.08,7.51,12.05
2023-05-01,3.666,12.16,7.64,12.43
2023-06-01,3.684,12.63,8.11,12.41
2023-07-01,3.712,12.91,8.36,12.77
2023-08-01,3.954,13.08,8.9,13.26
2023-09-01,3.958,13.07,8.43,14.45
2023-10-01,3.742,12.73,8.01,12.65
2023-11-01,3.443,12.43,7.79,12.6
2023-12-01,3.257,12.24,7.61,12.34
2024-01-01,3.197,12.59,8.1,12.64
2024-02-01,3.328,12.75,7.79,13.08
2024-03-01,3.542,12.73,7.68,11.92
2024-04-01,3.733,12.63,7.77,12.43
2024-05-01,3.725,12.48,7.88,12.21
2024-06-01,3.576,13.07,8.4,12.74
2024-07-01,3.6,13.58,8.81,13.15
2024-08-01,3.507,13.39,8.72,13.18
